ORIGEN,curr,prev,variation,AÑO
1,0.031627872249080695,0.03379427514570206,-0.0021664028966213653,2016
2,0.054788792862076045,0.051717241230994214,0.0030715516310818314,2016
3,0.06044462695760924,0.06564442246069808,-0.0051997955030888415,2016
4,0.03184439923095589,0.03733843738575023,-0.005494038154794344,2016
5,0.04034121665764471,0.030146884879244714,0.010194331778399995,2016
6,0.04915162488567002,0.05078818899331168,-0.0016365641076416595,2016
7,0.010789016855505571,0.009376545732166282,0.0014124711233392886,2016
8,0.023959830511638327,0.02508871158519538,-0.0011288810735570545,2016
9,0.027625856308214958,0.02287361018516527,0.004752246123049687,2016
10,0.01458570548597241,0.013131465192799846,0.001454240293172565,2016
11,0.03106415545144009,0.03202219402567797,-0.0009580385742378808,2016
12,0.08283277023873967,0.07810060431407127,0.004732165924668394,2016
13,0.026154966120993783,0.02851244112776619,-0.002357475006772407,2016
14,0.016530715099023763,0.012507795866577775,0.004022919232445988,2016
15,0.033427286132940104,0.03338136304006538,4.592309287472507e-05,2016
16,0.020790323483844474,0.021591862190584742,-0.000801538706740268,2016
17,0.04769940081757602,0.048194584829781284,-0.0004951840122052673,2016
18,0.024781139753233906,0.024551065614314287,0.00023007413891961911,2016
19,0.03617867209228529,0.03731263037914794,-0.001133958286862649,2016
20,0.019969014242248895,0.024267188541689067,-0.004298174299440172,2016
21,0.010430627368263863,0.010567969203638788,-0.00013734183537492464,2016
22,0.010964478375300991,0.014585259898062324,-0.0036207815227613325,2016
23,0.017620816456050622,0.015720768188563196,0.001900048267487426,2016
24,0.010546357306852333,0.010374416654121595,0.00017194065273073815,2016
25,0.036272002687921155,0.03776855416245511,-0.0014965514745339525,2016
26,0.04533627013607601,0.04634078152218327,-0.0010045113861072638,2016
27,0.026188565135422694,0.0205380760876578,0.005650489047764894,2016
28,0.033281690403748156,0.03365233660938945,-0.00037064620564129097,2016
29,0.018401060235566424,0.020421944557947484,-0.00202088432238106,2016
30,0.01528008511750322,0.015613238994386975,-0.0003331538768837558,2016
32,0.04130812162843223,0.04262457257145315,-0.001316450943020915,2016
33,0.019300767177496125,0.020658508785135164,-0.001357741607639039,2016
34,0.024180090717338957,0.02557904471063894,-0.0013989539932999819,2016
35,0.006301681817333358,0.00521301533366309,0.0010886664836702682,2016
1,0.033394250944935464,0.031627872249080695,0.0017663786958547686,2017
2,0.05375712041381227,0.054788792862076045,-0.0010316724482637776,2017
3,0.065392027986477,0.06044462695760924,0.0049474010288677595,2017
4,0.03622282308599358,0.03184439923095589,0.004378423855037693,2017
5,0.04076136327202386,0.04034121665764471,0.00042014661437914796,2017
6,0.04936107756486301,0.04915162488567002,0.00020945267919298544,2017
7,0.012575389997399423,0.010789016855505571,0.0017863731418938517,2017
8,0.023811305026237323,0.023959830511638327,-0.00014852548540100416,2017
9,0.023052506706280926,0.027625856308214958,-0.004573349601934031,2017
10,0.014712850053614623,0.01458570548597241,0.00012714456764221192,2017
11,0.03018449842718564,0.03106415545144009,-0.0008796570242544481,2017
12,0.07611495260182326,0.08283277023873967,-0.006717817636916409,2017
13,0.021837716907665287,0.026154966120993783,-0.004317249213328496,2017
14,0.015421774305592665,0.016530715099023763,-0.0011089407934310978,2017
15,0.03101098298225552,0.033427286132940104,-0.0024163031506845845,2017
16,0.021527785199514083,0.020790323483844474,0.0007374617156696087,2017
17,0.04787198039236642,0.04769940081757602,0.00017257957479040187,2017
18,0.021349663528162817,0.024781139753233906,-0.0034314762250710895,2017
19,0.03145272472720666,0.03617867209228529,-0.004725947365078635,2017
20,0.017459486225851154,0.019969014242248895,-0.0025095280163977413,2017
21,0.009297951244536118,0.010430627368263863,-0.001132676123727746,2017
22,0.010580427278265237,0.010964478375300991,-0.00038405109703575427,2017
23,0.018741962259580275,0.017620816456050622,0.001121145803529653,2017
24,0.011460348334740494,0.010546357306852333,0.0009139910278881617,2017
25,0.037519548853430805,0.036272002687921155,0.0012475461655096498,2017
26,0.04366118408162247,0.04533627013607601,-0.0016750860544535381,2017
27,0.02615538622121999,0.026188565135422694,-3.3178914202704884e-05,2017
28,0.03649000559302048,0.033281690403748156,0.0032083151892723233,2017
29,0.0155393346086845,0.018401060235566424,-0.002861725626881924,2017
30,0.017733793599732105,0.01528008511750322,0.002453708482228886,2017
31,0.008375280986936557,0.0,0.008375280986936557,2017
32,0.036465068559031304,0.04130812162843223,-0.004843053069400929,2017
33,0.02215477348267054,0.019300767177496125,0.002854006305174416,2017
34,0.02244689302368662,0.024180090717338957,-0.0017331976936523358,2017
35,0.006227133630440281,0.006301681817333358,-7.45481868930772e-05,2017
36,0.008129473080471808,0.0,0.008129473080471808,2017
37,0.0011292913963670305,0.0,0.0011292913963670305,2017
38,0.0006198634163024078,0.0,0.0006198634163024078,2017
1,0.03401642029330326,0.033394250944935464,0.0006221693483677987,2018
2,0.04716093059822694,0.05375712041381227,-0.006596189815585331,2018
3,0.06495705276079543,0.065392027986477,-0.00043497522568157476,2018
4,0.03969904174726817,0.03622282308599358,0.003476218661274587,2018
5,0.03409917691641926,0.04076136327202386,-0.006662186355604595,2018
6,0.05198495208736341,0.04936107756486301,0.0026238745225004023,2018
7,0.012682452492526043,0.012575389997399423,0.00010706249512662004,2018
8,0.021440861772302047,0.023811305026237323,-0.0023704432539352754,2018
9,0.021168454554545236,0.023052506706280926,-0.0018840521517356906,2018
10,0.013613464502580972,0.014712850053614623,-0.0010993855510336506,2018
11,0.027454509718730927,0.03018449842718564,-0.002729988708454714,2018
12,0.06545704069212123,0.07611495260182326,-0.010657911909702028,2018
