month_num,month_label,avg_monthly_uses
1,Jan,19058.0
2,Feb,21258.0
3,Mar,21657.909090909092
4,Apr,18774.18181818182
5,May,23868.81818181818
6,Jun,20959.272727272728
7,Jul,15533.0
8,Aug,11548.0
9,Sep,21883.090909090908
10,Oct,27272.909090909092
11,Nov,25809.545454545456
12,Dec,19535.545454545456
